provinsi;tanaman;tagun;luaspanen;jumlahpanen;hargajual;jumlahkebutuhan;julahpermintaan
Lampung;Kunyit;2015;777221,00;860.202;11400;777.221;388.611
Lampung;Kunyit;2016;422522,00;1.020.559;15400;422.522;211.261
Lampung;Kunyit;2017;446690,00;771.828;10800;446.690;223.345
Lampung;Kunyit;2018;561333,00;845.730;11000;561.333;280.667
Lampung;Kunyit;2019;605897,00;899.274;10800;605.897;302.949
Maluku;Kunyit;2015;179591,00;324.867;10700;179.591;89.796
Maluku;Kunyit;2016;179250,00;172.526;12500;179.250;89.625
Maluku;Kunyit;2017;42450,00;95.875;14500;42.450;21.225
Maluku;Kunyit;2018;96123,00;162.656;12100;96.123;48.062
Maluku;Kunyit;2019;90556,00;167.723;11400;90.556;45.278
Maluku Utara;Kunyit;2015;11487,00;319.293;12000;11.487;5.744
Maluku Utara;Kunyit;2016;8713,00;25.906;14400;8.713;4.357
Maluku Utara;Kunyit;2017;24125,00;31.843;13300;24.125;12.063
Maluku Utara;Kunyit;2018;173340,00;444.959;11300;173.340;86.670
Maluku Utara;Kunyit;2019;187822,00;1.088.197;11500;187.822;93.911
Nusa Tenggara Barat;Kunyit;2015;391929,00;632.582;14200;391.929;195.965
Nusa Tenggara Barat;Kunyit;2016;302471,00;1.033.328;14200;302.471;151.236
Nusa Tenggara Barat;Kunyit;2017;314121,00;956.481;14500;314.121;157.061
Nusa Tenggara Barat;Kunyit;2018;333235,00;836.045;11500;333.235;166.618
Nusa Tenggara Barat;Kunyit;2019;247139,00;684.613;11400;247.139;123.570
Nusa Tenggara Timur;Kunyit;2015;299909,00;791.374;15400;299.909;149.955
Nusa Tenggara Timur;Kunyit;2016;468735,00;1.743.823;11300;468.735;234.368
Nusa Tenggara Timur;Kunyit;2017;613599,00;1.699.191;11600;613.599;306.800
Nusa Tenggara Timur;Kunyit;2018;361380,00;816.320;12600;361.380;180.690
Nusa Tenggara Timur;Kunyit;2019;820907,00;3.708.139;12500;820.907;410.454
Papua;Kunyit;2015;6017,00;17.742;15100;6.017;3.009
Papua;Kunyit;2016;22468,00;9.927;12000;22.468;11.234
Papua;Kunyit;2017;4445,00;9.494;13200;4.445;2.223
Papua;Kunyit;2018;10224,00;24.196;13400;10.224;5.112
Papua;Kunyit;2019;8573,00;48.443;10700;8.573;4.287
Papua Barat;Kunyit;2015;11525,00;14.531;10600;11.525;5.763
Papua Barat;Kunyit;2016;19135,00;11.671;13200;19.135;9.568
Papua Barat;Kunyit;2017;2991,00;12.323;11300;2.991;1.496
Papua Barat;Kunyit;2018;547,00;14.777;11400;547;274
Papua Barat;Kunyit;2019;5519,00;3.210;14300;5.519;2.760
Riau;Kunyit;2015;198919,00;723.757;10600;198.919;99.460
Riau;Kunyit;2016;405013,00;850.780;12400;405.013;202.507
Riau;Kunyit;2017;198252,00;1.147.484;12600;198.252;99.126
Riau;Kunyit;2018;220407,00;612.013;14800;220.407;110.204
Riau;Kunyit;2019;218989,00;1.095.883;12300;218.989;109.495
Sulawesi Barat;Kunyit;2015;32081,00;146.263;14400;32.081;16.041
Sulawesi Barat;Kunyit;2016;49534,00;391.528;11000;49.534;24.767
Sulawesi Barat;Kunyit;2017;37860,00;350.892;15000;37.860;18.930
Sulawesi Barat;Kunyit;2018;53483,00;326.243;13300;53.483;26.742
Sulawesi Barat;Kunyit;2019;52917,00;499.000;12800;52.917;26.459
Sulawesi Selatan;Kunyit;2015;779282,00;9.552.180;11600;779.282;389.641
Sulawesi Selatan;Kunyit;2016;574743,00;3.133.000;15200;574.743;287.372
Sulawesi Selatan;Kunyit;2017;1116829,00;1.537.025;13800;1.116.829;558.415
Sulawesi Selatan;Kunyit;2018;2819430,00;1.580.551;12200;2.819.430;1.409.715
Sulawesi Selatan;Kunyit;2019;2366769,00;2.904.527;14600;2.366.769;1.183.385
Sulawesi Tengah;Kunyit;2015;91334,00;272.802;12800;91.334;45.667
Sulawesi Tengah;Kunyit;2016;74128,00;295.543;12800;74.128;37.064
Sulawesi Tengah;Kunyit;2017;104608,00;388.652;13000;104.608;52.304
Sulawesi Tengah;Kunyit;2018;94550,00;459.538;14300;94.550;47.275
Sulawesi Tengah;Kunyit;2019;87611,00;445.548;10800;87.611;43.806
Sulawesi Tenggara;Kunyit;2015;58394,00;133.055;15300;58.394;29.197
Sulawesi Tenggara;Kunyit;2016;48976,00;638.107;14000;48.976;24.488
Sulawesi Tenggara;Kunyit;2017;47592,00;378.398;13500;47.592;23.796
Sulawesi Tenggara;Kunyit;2018;70514,00;146.026;11000;70.514;35.257
Sulawesi Tenggara;Kunyit;2019;275327,00;87.783;11200;275.327;137.664
Sulawesi Utara;Kunyit;2015;185174,00;1.309.742;11800;185.174;92.587
Sulawesi Utara;Kunyit;2016;292228,00;1.609.753;13400;292.228;146.114
Sulawesi Utara;Kunyit;2017;363030,00;1.610.894;14400;363.030;181.515
Sulawesi Utara;Kunyit;2018;315195,00;1.089.751;10600;315.195;157.598
Sulawesi Utara;Kunyit;2019;213055,00;899.755;12600;213.055;106.528
Sumatera Barat;Kunyit;2015;610479,00;2.504.711;13400;610.479;305.240
Sumatera Barat;Kunyit;2016;549519,00;2.984.947;13100;549.519;274.760
Sumatera Barat;Kunyit;2017;361215,00;2.410.766;11900;361.215;180.608
Sumatera Barat;Kunyit;2018;604044,00;2.600.943;13200;604.044;302.022
Sumatera Barat;Kunyit;2019;776727,00;1.900.038;12900;776.727;388.364
Sumatera Selatan;Kunyit;2015;782654,00;2.196.660;12100;782.654;391.327
Sumatera Selatan;Kunyit;2016;903706,00;1.409.184;11800;903.706;451.853
Sumatera Selatan;Kunyit;2017;607411,00;1.311.668;10600;607.411;303.706
Sumatera Selatan;Kunyit;2018;816252,00;2.003.190;11100;816.252;408.126
Sumatera Selatan;Kunyit;2019;885481,00;1.532.785;14300;885.481;442.741
Sumatera Utara;Kunyit;2015;1652714,00;750.202;13100;1.652.714;826.357
Sumatera Utara;Kunyit;2016;831559,00;3.894.542;12500;831.559;415.780
Sumatera Utara;Kunyit;2017;1519217,00;1.913.923;10600;1.519.217;759.609
Sumatera Utara;Kunyit;2018;1424318,00;4.565.882;14300;1.424.318;712.159
Sumatera Utara;Kunyit;2019;662649,00;2.580.257;12000;662.649;331.325
