Luas Panen;Jumlah Panen;Harga Jual;Jumlah Kebutuhan Pupuk ;Jumlah Kebutuhan Pestisida
64975;33017;15400;99948;33850
52830;27372;15500;82656;28251
61997;31118;13200;93688;31744
54853;27691;11600;84043;28100
57095;28983;13100;87327;29553
64343;32438;11300;98097;33127
58094;29469;15000;89139;30215
50830;26253;12300;79423;26992
52090;26236;13800;79191;26440
52425;26762;11200;81160;27381
62451;31758;12400;96247;31940
63669;32375;14500;97766;32974
57478;29262;11900;88284;29773
63991;32764;14400;98783;33644
58094;29737;10800;89424;30517
63211;32528;13600;97960;33013
53855;27067;12100;81479;27769
57663;28977;13500;87653;29521
64934;32697;14800;98434;33517
61685;31838;14300;96070;32561
55162;28463;12200;85567;29192
53878;27291;11500;82736;27826
60709;30499;12100;91880;31394
52955;26990;12300;81709;27593
53498;27658;10700;83715;28414
63519;32075;12900;96725;33024
63536;32479;14200;97607;33459
55258;27988;15800;84453;28293
60397;30404;13400;91931;30799
55220;28553;12200;86015;29043
60993;31337;13700;94115;31862
62984;32457;12800;98336;33112
56149;28534;12300;86428;29425
63580;31954;11300;96768;32920
55767;28818;15300;86615;29504
58157;29992;15700;90359;30446
62584;31514;14700;95216;31912
61779;31112;15200;93591;31760
55010;28079;13600;84725;28723
53469;27147;10900;82222;27649
57399;29672;14700;89177;30612
63179;32498;10900;98304;32932
58344;29442;12400;88644;30411
55663;28372;11100;85627;29024
57293;29088;15400;87784;30049
57188;29241;12400;88106;29484
51290;26475;12800;79647;27177
59774;30253;12800;91592;30890
56373;29162;13000;87909;29836
57836;29134;11300;88009;29505
62417;31390;14800;94821;31654
52643;27009;15400;81351;27484
64770;32772;10500;98939;32937
63423;32028;12600;96783;32400
51742;26284;15600;79209;27180
62769;32176;12200;97333;32682
51773;26281;13700;79829;26765
54450;27941;14400;84436;28157
58778;29740;14900;89599;30682
51678;26330;12900;79477;27203
59427;30569;14100;91935;30941
52651;26426;14400;80061;26626
57176;29301;11700;88243;30191
53318;27172;10800;81752;27648
53620;27171;11200;81948;28122
58256;30060;11400;90523;30759
54387;27526;10500;83550;28057
51380;26392;13900;79352;26561
58538;29545;14000;89299;30017
51686;26154;12700;78589;26275
53982;27645;10800;83184;27946
55543;28521;11800;86080;28969
63854;32466;11800;97573;32837
61695;31742;15600;96184;32071
51954;26588;12500;79969;26707
58413;29832;12600;89890;30086
57511;29456;12200;89203;29889
61136;31365;10500;94282;31866
60271;31015;13400;93904;31160
64853;32553;15600;98486;33107
54887;27647;14300;83562;28620
59334;29823;15600;90351;30094
63191;31757;10900;96055;31874
50825;26025;15600;78567;26526
52309;26272;14800;79511;27116
57490;28913;13400;87307;29798
53221;27284;13000;82351;27712
52962;26888;11500;81455;27497
62291;31867;14300;96263;32296
60614;31087;14800;93776;31698
60001;30396;11800;92075;30676
53424;27516;14600;83206;28220
64644;33240;12100;99828;33566
62267;31354;12400;94176;32037
54851;28119;13200;84897;28239
57083;29370;13900;88898;29540
62058;31178;12000;94339;31654
62523;31381;12800;94510;32109
57316;29268;11600;88325;29792
53097;27353;14100;82907;27512
58216;29867;12100;90266;30760
60056;30607;11300;92619;31563
56423;28921;11800;86977;29447
59684;30724;12000;92588;31102
60612;30507;13400;91971;30691
58481;29877;14100;90135;30412
63187;32013;11300;96843;32659
56958;29162;15800;88250;29302
52055;26658;11900;80784;27591
55233;27870;14400;83894;28758
56730;28711;13300;86580;29040
50571;25914;14200;78370;26471
59214;30393;11400;91375;31159
55006;28441;15600;85763;28657
64991;33187;13300;100186;33768
51616;26270;12500;79624;26884
52053;26658;11700;80847;27003
63552;32470;15700;97832;33248
63481;32605;15700;98250;32845
54066;27239;11200;82316;28100
58829;29573;14800;89274;30370
61112;30793;12300;93370;31751
62894;32218;11200;96899;32920
59091;30217;14100;91052;31182
57580;29119;13400;87959;29377
58939;29907;13300;90714;30677
64875;32683;14200;99046;33440
63203;32579;14000;98047;33399
53373;27035;11700;81745;27738
59773;30378;13500;91545;31212
