"user","waktu","komentar","Sentimen"
"Cimahi_SM Ekstra_Anggih Saeful Khiyar_SM3","4 tahun lalu","Air terjun langsung ke laut, lautnya bersih dari sampah, sangat bagus untuk foto-foto","Positif"
"Nur Fadilah","2 tahun lalu","Tempatnya nyaman, banyak spot foto nya juga ada tempat parkir buat mobil juga, dan ketika masuk harus turun tangga dulu kaya destinasi wisata biasanya yaaa 💙💙 …","Netral"
"Ny. Warta","5 tahun lalu","amazing! suara debur ombak + gemuruh air terjun bener2 bikin fresh! sayang kurang terawat.. semoga pemda ada perhatian untuk mengeksploitasi air terjun toroan sbg destinasi wisata utama sampang","Netral"
"Zada Artanti","5 tahun lalu","Air terjunnya bagus bangett. Airnya ngalir langsung ke pantainya. Disuguhi warna air terjun yang bikin gapengen pulang. Dan disana juga menyediakan tempat makan yang nyaman banget dan bisa liat pemandangan sambil makan juga. Bagus deh pokoknya. Kalian harus kesini explore Indonesia yang cantik.","Positif"
"Onez","3 tahun lalu","Lokasi ini cocok bangrt buat berlibur bagi keluarga dan spot yang bagus untuk mengabadikan momen senja..silahkan follow ig saya @onezliano bonus follback 😊 …","Positif"
"Arief Rakhman official","4 bulan lalu","Suasana Pantai yang syahdu. Recommended","Netral"
"Tri Junaedi Sabri","5 tahun lalu","Air terjun ini bagus untuk fotografi. Cman kurang bagus untuk bermain air karena tempatnya banyak batu dan airnya biasanya ndak jernih. Untuk fasilitas di sini sudah mulai berbenah, toilet sudah ada. Restoran kecil kecilan juga tersedia. Jadi setelah motret bisa nongkrong makan di sini.","Positif"
"Dwi Setyawan","6 bulan lalu","Sangat unik mungkin satu-satunya di Nusantara air terjun langsung ke laut. Mirip yang saya lihat di Jeju Korea Selatan","Netral"
"Rudi Santoso","4 tahun lalu","Bagus, sayangnya banyak sampah dari air terjunnya yg berhulu di pemukiman atas","Positif"
"Maria Farida","2 tahun lalu","Air terjun yang indah dan langsung jatuh di tepi pantai utara Pulau Madura","Positif"
"Rini Setyowati","3 bulan lalu","area parkir cukup, air bersih, fasilitas cukup memadai..","Netral"
"Peby Mulya","3 tahun lalu","Pantai bagus,ada tempat makan,ada air terjun menuju laut","Positif"
"Zulfikar Renal","3 tahun lalu","Tempatnya sudah berkembang, akan tetapi untuk masalah kebersihan di bebatuannya harap dijaga lebih baik lagi","Netral"
"REANITA PUTRI ARDANA","8 bulan lalu","Kondisi setelah hujan, airnya jadi kecoklatan","Netral"
"Ini Zoel (Zulfa Graph)","4 tahun lalu","Bagus banget cocok banget buat spot foto, buat nyantai sambil liat laut jg bisa","Positif"
"Dessy Nataliawati","3 minggu lalu","Bagus","Positif"
"Istiana Anggraeny","2 tahun lalu","Viewnya bagus, tempatnya jg nyaman buat family time. Makanannya jg enaak","Positif"
"Channelnya Bu Tini","3 tahun lalu","Viewnya asyiik...
Air terjun tp langsung laut
Kebanyakan air terjun di gunung naah ini di laut …","Netral"
"Ucie Item","4 tahun lalu","Jauuuuuh dari pusat kota tp jalan nya halus dan lebar. Nyaman perjalanan kesana dengan hamparan sawah yang hijau. Pantai dan mushola agak kotor","Negatif"
"mahardian rahmadi","4 tahun lalu","Air terjun kecil tetapi cukup indah. Lokasi tepat di jalur pantura bangkalan - sumenep","Positif"
"Salsalah","4 tahun lalu","Air terjun yang menarik di daerah sampang airnya yang segar bisa digunakan untuk mandi mungkin ya, nyaman untuk wisata tapi kurangnya tempat duduk yang minim","Netral"
"Adrina Dev","4 tahun lalu","Semakin bagus dan bersih, sayang kamar mandi dan mushola kurang terawat.","Positif"
"jelajah sumenep","5 tahun lalu","Air terjun yg langsung bermuara di laut,  untuk kesini bisa menghubungi kami..","Netral"
"Habieb Suryantoe Mbolangers","3 tahun lalu","Lumayan bagus lokasi wisatanya..","Positif"
"Hitchhiker Nusantara","2 tahun lalu","Tempatnya bagus gaes y, apalagi klo lgi bukan musim penghujan,,, klo lgi musim hujan airnya coklat gk bening gaesss...","Positif"
"Nurul Hadi","3 bulan lalu","Pemandangan indah, ada warung makan dengan andalan sea food yang maknyus","Positif"
"Adhitya Sanjaya","2 tahun lalu","Sudah di kelola dg baik dan bisa jd rujuan wisata anda. Ini adalah hasil gambar yg sy ambil secara pribadi saat bwrkunjung kesini","Netral"
"Donny AZHAR","setahun lalu","Tempat makan ikan bakar yang enak di pinggir jalan dan menghadap ke pantai","Netral"
"ar hakam","setahun lalu","lumayan laah
.perlu ditambahkan bridge depan bawah air terjun nya ...","Netral"
"Citra Kusvianawati S","4 tahun lalu","Tempat ini salah satu andalan destinasi wisata yang ada di Kab. Sampang. Pemandangannya sangat unik ditengah laut kita bisa sekaligus melihat air terjun dari sungai yang ada di Kec. Sakobanah","Netral"
"Bob Indra","5 tahun lalu","Tempatnya bagus sekali, sekitar 2 jam dari Jembatan Suramadu, melalui kota Bangkalan.","Positif"
"Oktafirda D Carintan","4 tahun lalu","Pemandang cukup bagus dan akses mudah karna berada di tepi jalan","Positif"
"20-191 Rama priyadi","5 tahun lalu","Airnya terjunnya yang indah, dan juga pemandangan lautnya yang baguss, pokoknya gak nyesel kalo kesana","Positif"
"Abdul Rachman","3 tahun lalu","Tempat yg nyaman buat menikmati sunset","Netral"
"Eko Val","4 tahun lalu","air terjunnya bagus,, tp air nya, coba tengok sendiri keatas","Positif"
"agus kurniawan","5 bulan lalu","tempat wisata murah meriah.ada tempat makan jg.cocok buat tempat healing coz masih sepi","Positif"
"Arbie Always","3 bulan lalu","Lumayan buat healing tipis2 dg budget yg murah","Positif"
"Hendra Surianta","2 tahun lalu","View air terjun oke, Akses dekat dengan jalan utama, fasilitas cukup oke..","Netral"
"Bulan Syurga","2 tahun lalu","Cocok sebagai tempat refreshing, piknik, atau tour bersama keluarga.","Netral"
"Linda eLDe","5 tahun lalu","Good scenery,air terjun yg langsung bermuara ke laut,gag bakal nyesel","Netral"
"Bambang Eko Listrianto","setahun lalu","Air terjun muara sungai yg  cukup curam ,","Netral"
"Nurhayati","4 tahun lalu","Pertama kali kesini, panas sih. Tapi terbayarkan sama air terjun yang menghadap laut lepas","Netral"
"Ainum Mabruroh","2 tahun lalu","Pas kesini aliran air terjunnya deres banget, mungkin karena lagi musim hujan 😀 …","Netral"
"Vika Saraswati","4 tahun lalu","Bagus asalkan pas air laut tidak pasang, kedua masih banyak sampah yang ditinggalkan oleh pengunjung","Positif"
"Cupay Christina","4 tahun lalu","air terjun yg cantik. kita bisa menikmati sunset di dekat air terjun","Positif"
"Garuda Indonesia","4 tahun lalu","Indahnya luar biasa dan sangat istimewa dari air terjunnya","Positif"
"Adv. Sutrisno, SH","3 bulan lalu","Terhibur ada restorant menyediakan karaoke segala","Netral"
"Haryo Dwito Armono","setahun lalu","Hanya 2,5 jam dari Surabaya, leat jalur pantura Madura, jalan beraspal halus dan bagus. Sangat dekat dan bagus sekali. Jangan berenang dan mandi disana. Berbahaya, Foto-foto dan lihat2 saja, Bagus, ada cafe, musholla, kamar mandi. Parkir …","Positif"
"KRIS TANTO","3 bulan lalu","Air terjun Bagus Saluran Langsung masuk ke laut","Positif"
"Kursi manja","5 bulan lalu","Selain wisata pantai ada juga bujuk nyai dewi sebagai wisata religi","Netral"
"Alden Eginata (ananda alden)","10 bulan lalu","Tempatnya bagus selain air terjun ,diatasnya jg ada rest area.
parkir 5rb+masuk 5rb (hari biasa)","Positif"
"Farid F","4 tahun lalu","Suasana sore yg tdk begitu panas, membuat mata nyaman memandang salah saty ciptaan Allah yg indah","Positif"
"ariyoena samitsa","3 tahun lalu","Air nya hijau ke biruan bagus... jangan sampe dikotori ya... supaya tetep bagus","Positif"
"hadnys setyo","4 tahun lalu","Tempatnya indah.. Masih cukup bersih.. Tempat yg tepat utk menikmati sunset di pulau madura..","Positif"
"agus prasetyawan","5 tahun lalu","Bagus lokasinya cuman kurang bersih di lokasi","Positif"
"Alfina Faiq","4 bulan lalu","Tempat rekreasi yang bagus untuk berlibur bersama keluarga","Positif"
"abu dzakiy","3 tahun lalu","bagus potensi alamnya tapi pengololaannya belum maksimal mungkin dikarenakan masih berbasis mandiri","Positif"
"Trio Mardjoko","5 tahun lalu","Dari Suramadu, jalan menuju lokasi bagus dan beraspal semua. Lokasi wisata bersih dan cenderung agak sepi. Toilet agak jorok.","Positif"
"selly maghfiroh","4 tahun lalu","kesini waktu air keruh dan musim hujan, kalau volume airnya naik sangat menakutkan.","Netral"
"shohibul ilmi","3 tahun lalu","Sekarang parkir sudah luas...
Kalau kesini mending sore...senja sore sungguh pemandangan nya","Netral"
"Muhammad Syaifuddin","4 tahun lalu","Lokasi.x dipinggir jalan jd gampang dicarinya.
Bs jd tempat singgah bentar menikmati suasana air terjun yang jatuh ditepi pantai.","Netral"
"Tatang Decoration","5 tahun lalu","Seru banget.... Sangat memicu adrenaline apalagi saat ambil gambar dr atas air terjunnya...","Netral"
"Nor Khakim","5 tahun lalu","Bagus, air terjun dg pantai.. Apik kalo air terjun nya ndak begitu deras, dan pantai agak surut.","Positif"
"Firman Hidayat","4 tahun lalu","Pemandangan alam bagus dan murah meriah,pas bnget bagi anda yg lg liburan di madura","Positif"
"whenny endah","3 tahun lalu","Bagus.... Hanya kebersihan kurang terawat","Positif"
"RAHMAN SAJA","5 bulan lalu","Air terjun toroan. Semakin berbenah. Fasilitas semakin lengkap","Netral"
"Just Skip","5 tahun lalu","Wisata yang cocok buat kalian yang suka foto - foto dan refreshing","Netral"
"frank rush","11 bulan lalu","Ada restorannya, harga murah, rasa pas aja poin 7. Hati2 ke lokasi air terjunnya, jalan agak licin dusim hujan.","Positif"
"Laisa Tude","setahun lalu","Air Terjun Yg Bagus, Banyak Spot Foto Yg Keren'","Positif"
"Zain Mughozin","11 bulan lalu","Karena habis hujan jadi airnya keruh","Netral"
"fhyt 3","setahun lalu","Air terjun yg tidak terlalu tinggi. Mengalir langsung ke laut.
Waktu kesana banyak sampah di pinggiran laut
Meski demikian semoga tetap mendapatkan barokah dari wali yg ada sana🤲 …","Negatif"
"elly erawati","setahun lalu","Destinasi wisata unik di bagian utara pulau madura... Air terjun ke laut... Cocok untuk tempat hunting sunset... Cuma air lautnya sangat kotor tdk bisa dipakai main anak2 (kurang th juga apa mungkin pada waktu2 tertentu saja).... Harga …","Negatif"
"alex hidayatulloh","4 tahun lalu","Kalau kesini pas musim kemarau saja. Biar tidak licin.","Netral"
"Bayu Al Fahmi","5 tahun lalu","Tempat Air terjun nya tidak terawat masih banyak sampah berserakan.","Negatif"
"riva nq","2 tahun lalu","Bagusss sekali... tapi tetap hal yang perlu di perbaiki adalah sampah.. mari kurangi penggunaan plastik. Thanks","Positif"
"Muhajir Al Mubarok","7 bulan lalu","Bagus bgt..","Positif"
"Agung lau Official","5 bulan lalu","Keren n alami","Positif"
"Eriana Siskawati","9 bulan lalu","pemandangan yang sangat indah, cocok juga untuk orang orang luar kota yang berlibur di air terjun ini, Dan biayanya cukup murah.","Positif"
"Nur Hayati","2 tahun lalu","Tempat santai bersama  kelurga dan kerabat. Dengan nuasa alam yang sangat indah dipandang..","Positif"
"Tsurayya Kamila Novita","5 tahun lalu","Sarana dan prasarana masih harus terus ditambah sih. Dikelola lebih baik lagi. Agak panas banget daerahnya... Kurang tempat* berteduh ...hihi . Tp okelah untuk mampir tipis tipis...","Netral"
